latitude,longitude,listing_url
40.80592,-73.95172,https://www.airbnb.com/rooms/218358
40.61943,-73.99232,https://www.airbnb.com/rooms/219066
40.81553,-73.95438,https://www.airbnb.com/rooms/219922
40.68788,-73.95014,https://www.airbnb.com/rooms/220563
40.72598,-73.97978,https://www.airbnb.com/rooms/60680
40.79918,-73.96248,https://www.airbnb.com/rooms/60794
40.80371,-73.95635,https://www.airbnb.com/rooms/61406
40.72967,-73.95352,https://www.airbnb.com/rooms/62925
40.81161,-73.85499,https://www.airbnb.com/rooms/63588
40.881,-73.83511,https://www.airbnb.com/rooms/63610
40.68194,-73.99708,https://www.airbnb.com/rooms/166983
40.65891,-73.98556,https://www.airbnb.com/rooms/168123
40.60602,-73.97076,https://www.airbnb.com/rooms/169483
40.79179,-73.93972,https://www.airbnb.com/rooms/170420
40.68877615321917,-73.97762359693657,https://www.airbnb.com/rooms/170761
40.74937,-73.99467,https://www.airbnb.com/rooms/171562
40.72852,-73.95655,https://www.airbnb.com/rooms/173151
40.7751,-73.98595,https://www.airbnb.com/rooms/174966
40.67545,-73.96096,https://www.airbnb.com/rooms/176135
40.74088,-73.99538,https://www.airbnb.com/rooms/177495
40.68253,-73.94295,https://www.airbnb.com/rooms/63657
40.7401,-74.00019,https://www.airbnb.com/rooms/222304
40.67319,-73.96804,https://www.airbnb.com/rooms/223930
40.71085,-73.96672,https://www.airbnb.com/rooms/225354
40.61019,-74.06757,https://www.airbnb.com/rooms/225976
40.71137,-73.9465,https://www.airbnb.com/rooms/226021
40.78764,-73.97274,https://www.airbnb.com/rooms/227495
40.68563832502508,-73.92470229417086,https://www.airbnb.com/rooms/228317
40.68098,-73.94023,https://www.airbnb.com/rooms/228925
40.79147,-73.94629,https://www.airbnb.com/rooms/230877
40.72863,-73.9842,https://www.airbnb.com/rooms/64015
40.67634,-73.95143,https://www.airbnb.com/rooms/64314
40.67579,-73.95072,https://www.airbnb.com/rooms/64365
40.7106,-73.95178,https://www.airbnb.com/rooms/65615
40.70797,-73.94792,https://www.airbnb.com/rooms/65660
40.68028,-73.99328,https://www.airbnb.com/rooms/66008
40.72547,-73.98619,https://www.airbnb.com/rooms/66251
40.74045,-73.9749,https://www.airbnb.com/rooms/177606
40.72113,-73.98213,https://www.airbnb.com/rooms/179670
40.72212,-73.99638,https://www.airbnb.com/rooms/179741
40.71422,-73.95984,https://www.airbnb.com/rooms/180201
40.78959,-73.94705,https://www.airbnb.com/rooms/182069
